

Zhanghong 31928
Longgao 28358
Gao 17828
Weijialou 7798
Qingyangcha 8181
Changqing 24462
Jiacun 25795

Xiaocun 71665
Zhaocun 27980
Caocun 30457
Chenlu 15642
Guanlu 20193
Lindian 25064
Jinding 8895
Danba 10404
Yanba 8573
Tanba 10962
Shenba 10413
Bashan (Zhenba) 10561
Yanchang 15466
Changling 13202
Liangling 10635
Pingliang 28237
Kazi 9689
Wazijie 1700
Niuwu 7121
Huangniupu 6957
Honghuapu 3729
Tangzang 4720
Shennong 23277

Shenmu 204525
Langanbao 4157
Laogaochuan 14909
Ha 5232
Chashang 8113
Zhangjiashan 5382
Xi 17565
Keng 19357
Peng 12966
Diantou 29676
Qipan 7596
Zhaoshipan 7885
Baoshan 13583
Yanchangbao 4228
Wucangbao 7831
Xunyangba 1983
Jiangkou (Ankang) 8694
Jiangkou (Hanzhong) 7171
Xiaohe (Hanzhong) 4215
Hanwang (Hanzhong) 11391
Maoping (Hanzhong) 5907
Baliguan 3134
Huayang 6766
Taibaihe 2338
Wangjialeng 1460
Zhangjiawan 9865
Xiasiwan 10751
Nanniwan 4960
Baiwanzi 7825
Nianzi 10207
Yanzibian 26042
Houzhenzi 2512
Changjiaoba 2626
Songjia 13329
Cangshang 13567
Lengshui 16172
Tongqianguan 24042
Chang'an 17406
Guangfo 20637
Huangfu 10516
Fuchuan 10145
Qishuba 4913
Xinpu 23481

Pu 46300
Sehepu 22344
Gepai 11451
Tiandu 20948
Jindui 22744
Qindong 17866
Daiziying 11574
Yinghu 15759

Datong 37678
Hexi 23678
Xinghe 13213
Yanghe 25668
Liushu 20126
Luojiaba 7892
Tianming 18434

Fengming 75936
Hongmiao 22166
Yuhuangmiao 5140
Yangmijian 4357
Dongmu 8324
Dachanghan 10466

Dacheng 38150
Duli 22480

Poxi 43086
Xiyang 22684
Qu'an 30928

Sanqu 39000
Yongle (Xi'an) 31014
Chongwen 20515
Wenshui 36153
Xinjichuan 5538
Caichuan 8789

Zichang 113698
Yangjiayuanze 19272
Dianzegou 5704
Angou 6899
Changgouhe 4985
Tonggousi 16649
Hongliugou 10228
Jiyuan 11341
Zhangyaoxian 8449
Zhaoxian 9672
Miganqiao 32429
Chigan 28574
Zhugan 18040
Shitan 24135
Shitou 22864
Tuji 10042
Jietoumiao 5146
Miaojiaping 17689
Huainingwan 8288
Bainijing 17861
Zhuanjing 15351

Hanjing 45610
Dukang 19470
Hukou 4152
Guandi 32240
Qiandong 30862
Junma 24986
Gujun 19565
Yidian 33906
Zaolin 32626
Ningtiaoliang 17542
Duiziliang 7279
Haotan 14469
Tao 6698
Ji 10099
Sishilipu 28952

Mingzhou 62842
Guoxingzhuang 5576
Zhenchuan (Yulin) 23946
Shajiadian 7727
Shangyanwan 11499
Hongyansi 13677
Wafangkou 7361
Caoping 11819
Haoping 25903
Maoping (Ankang) 15293
Huaziping 14939

Xingping 298791
Zhuangtou (Xianyang) 28993
Shide 36633
Shima 15310
Guofenglou 20178
Jinsixia 23160
Qingyouhe 11657
Luhe 25506
Boluo 15539
Luobin 27946

Yongping 47990
Hezhuangping 19085
Zhuanyaowan 11860
Zhaowan 16329
Zhaojin 8973
Huanghaojie 4465
Guanghuojie 4968
Yingpan 11750

Panxi 44211
Xiehu 33681
Huaxu 29530
Xuanwo 28276
Qiankunwan 3388
Da'an 26930
Yongfeng 33666
Youfeng 19077
Zhaogong 31295
Zhoucheng 24764
Mazhao 32023
Zhaodu 29645
Chaoyi 21311
Anren 31169
Daren 11247
Yuehe 7125
Hengqu 29020
Yizheng 7196
Moziqiao 26667
Guanchi 26659
Weilin 22028
Liuzhi 14215
Liuguoju 16929
Shipo 25086
Chen'er 4700
Si'er 8135
Dianshi (Hengshan) 17172
Dianshi (Zizhou) 5015
Fa 14174
Xiaonanhai 10297
Xiaojihan 11232
Hongdunjie 5539
Haizetan 6009
Baimatan 4657
Banqiao (Weinan) 9971
Hebei 10256
Badu 8433
