

Prasklice 242
Prosimerice 737

Pribram 35251
Chric 202
Chyne 675
Mrlinek 288
Rasin 72
Bestin 291
Litic 124
Skalicka 549
Kamyk 135
Felbabka 227
Recany nad Labem 1364
Kamenny Privoz 1124

Odolena Voda 4451
Hlasna Treban 533
Babicky 980
Beloky 120
Mokre Lazce 1085
Klokocna 160
Lomnice nad Luznici 1660

Klasterec nad Ohri 15040
Vlkov pod Oskobrhem 96
Uhelna Pribram 517
Skuhrov nad Belou 1060
Okrouhlicka 198

Chlumec nad Cidlinou 5292
Lidman 278
Vranova 333
Veprova 395
Nova Dedina 410
Bojanov 655
Bohdanec 401
Rosec 203
Sendrazice 310
Knezicky 177
Zalezly 304
Velenov 187
Spanov 191
Trnove Pole 127
Velky Beranov 1269
Kvetinov 213
Bohunov 242
Nove Dvory 831
Drahnovice 53
Modrava 54

Jindrichuv Hradec 22812
Komarice 263
Tavikovice 618
Zeraviny 189
Mazelov 209
Mahous 154
Loucim 126
Semcice 502
Locenice 586
Volanice 228

Mlada Vozice 2772
Horni Vilemovice 80
Cernysovice 83
Klasterni Skalice 114
Zalezlice 350
Olesnice v Orlickych horach 470
Liblice 459
Hlizov 407
Litultovice 761
Sulimov 173
Libun 730
Cecelice 589
Vitice 976
Zitkova 203
Dritec 458
Kovanec 129
Brzkov 245
Habry 1305
Tynec nad Labem 1868
Kynice 95
Slavnic 42
Krasonice 231
Hnanice 300
Moutnice 1139
Tvrdonice 2042
Mouchnice 361
Hnevotin 1201
Dvorce 1518
Hustopece Nad Becvou 1748
Vestec 1143

Frenstat pod Radhostem 11334
Stare Techanovice 138
Dlouhonovice 794
Dolni Tosanovice 292
Nahosovice 179
Medlovice 482
Teskovice 839
Trebsko 202
Detrichov nad Bystrici 484
Hluchov 342

Olomouc 101268
Palovice 162
Kyjovice 823
Parsovice 359

Kozlovice 2852
Bratrikovice 159
Nisovice 208
Serkovice 202
Cirkvice 1136
Kuncice 274
Nesovice 1152
Mostkovice 1313
Lahost 544

Postrelmov 3314
Domasov nad Bystrici 482
Luzec nad Cidlinou 484
Senice na Hane 1824
Zlamanec 293
Malonty 1135
Valchov 457
Malecov 649
Vinec 249
Veliny 361

Hovorany 2232
Olomucany 892
Sazomin 216
Brezova nad Svitavou 1518
Dlouha Trebova 1250
Bouzov 1490
Predboj 349
Borovnice 443

Unicov 12385
Rokytnice 1422
Katerinice 938
Vermerovice 722
Liskovice 202
Skalice 548
Pertoltice pod Ralskem 327
Honetice 68
Hostenice 488
Dolni Vestonice 331

Straznice 5900
Sokolnice 1761
Lomnice 1300

Dolni Kounice 2403
Citonice 473
