

Koster 21
Kostyli 28
Erlygas 113
Rechnoy 276
Mayachnoe 392
Dachnyy 105
Vostochnyy 291
Zharki 3
Ripus 3
Svetlye Ozera 179
Svetlyy 625
Kumlyak 799
Staryy Kumlyak 151
Muraveynik 285
Epanishnikovo 189
Kolyasnikovo 6
Zyryankul' 6
Koshkul' 6
Neverovo 21
Pustozerovo 355
Beloe Ozero 11
Maloe Shumakovo 520
Bol'shoe Shumakovo 454
Bol'shoe Taskino 283
Khlebinka 19
Zagrebino 25
Klubovka 227
Dubrovka 1430

Lazurnyy 1759
Prokhorovo 387

Borovoe 1480
Fedorovka 65
Vladimirovka 394
Nekhaevo 40
Saktaevo 31
Zamerinovo 31
Tatysh 31
Bektysh 865
Belonosovo 1220
Belousovo 490
Osipovka 232

Agapovka 6561
Krutolapova 56
Tayandy 342
Novaya Soboleva 729
Meteleva 681
Gogino 593
Zvyagino 697
Novyy Mir 697
Novyy Miass 164
Novyy 201
Lafetnoe 35
Krasnooktyabr'skiy 88
Oktyabr'skiy 1323
Khanzhino 316

Snezhinsk 48810
Kisegachinskiy 98
Kashirinskiy 6
Ashirovo 243
Sevast'yanovo 73
Polyanovka 295
Baranovka 301
Krasnyy Yar 301
Krasnyy Partizan 233
Krasnoyarskiy 233
Uysko-Sanarskiy 97

Uyskoe 7352
Dzhabyk 757
Kryzhanovka 348
Martynovka 93
Kuznetsovo 93
Metlich'e 134
Leyptsig 717
Podkorytova 12
Saitova 160
Bayazitova 373
Ayazgulova 633
Bayramgulovo 1373
Tsentral'nyy 1373
Kanifol'nyy 16
Shablish 30
Shabunina 205
Sysoevo 222
Voskhod 159
Vavilovets 162
Brailovskiy 422
Izmaylovskiy 1221
Kizilchilik 282
Eleninka 994

Leninsk 1862
Karataban 1376
Yaratkulova 1139

Kuluevo 2764
Chubary 353
Trubnyy 958
Butaki 1016
Subutak 1108
Nikol'skoe 395
Komsomol'skoe 224
Toguzak 224
Kurgannyy 302
Kolodkino 66
Maslokovtsy 99
Tsvillinga 515
Shumaki 445
Tumak 86
Sineglazovo 340
Ablyazovo 399
Sukhorukovo 399
Zhukovo 1
Khutor 11-y 1
Khutorka 774
Kadymtsevo 558
Karsy 1030

Yasnye Polyany 1566
Lesnye Polyany 130
Gorbunovskiy 272
Tavrankul' 272
Birgil'da 272
Uvil'dy 577

Kyshtym 38942

Ozersk 82164

Kasli 16969
Klimovka 233
Gusary 216
Sary 971

Kunashak 6296

Muslyumovo 2654
Shumovo 963

Brodokalmak 3046
Put' Oktyabrya 1129

Oktyabr'skoe 6780
Karakul'skoe 1135
Sosnoven'koe 208
Krasnokamenka 208
Podovinnoe 1369
Sezonnoe 2
Sel'ki 9
Kassel'skiy 998

Verkhneural'sk 9457
Ural 678
Novyy Ural 767
Tolsty 770

Varna 9869
Vishnevyy 317
Novoukrainskiy 544
Novoetkul'skiy 610
Ogneupornyy 604

Trekhgornyy 33670

Yuryuzan' 12571

Ust'-Katav 23580

Katav-Ivanovsk 17630

Kropachevo 5018

Mezhevoy 5649

Satka 45178

Berdyaush 5304
Kocherdyk 848
Cherkaskul' 531
Elizavetopol'skoe 531
Bol'shie Egusty 79
Bol'shie Kharlushi 446
Kharlushi 237
Chernootrog 237
Petrograd 10

Nyazepetrovsk 12451

Magnitka 5170

Magnitogorsk 407775

Bakal 20940

Kusa 18792

Zlatoust 174962
Savlatova 7
Yangi-Yul 7
Tikhomirovka 7
Kisegach 29
Ukagach 1
Moskvina 1
Tokmasskiy 145
Ufimskiy 360
Kuyanbaeva 360
Marzhinbaeva 213
Dzerzhinka 443
Svobodnyy 323
Yamantaeva 199
Radiomayka 299
Pervomayka 228

Pervomayskiy 10645
Novobaturino 743
Zernovoy 367
Shigaevo 673
Prudnyy 376
Bezvodnyy 89
Klepalovo 89
Vyalkovo 64
Selezni 64
Selezyan 1400
Nizhneustselemovo 757

Troitsk 78372
Klyastitskoe 1245
Novotroitskiy 139
Sufino 137
Nachal'noe 43
Archaly 24
Musakaeva 24
Etovna 217
Ilimbetova 420
Lebyazhiy 95
Mauk 713
Kugaly 206
Siniy Shikhan 206
Siniy Bor 1054

Kichigino 2523
Den'gino 134

Asha 31881

Sim 14466
Pravda 405
Polovinka 956

Fershampenuaz 4368

Ostrolenskiy 2021
Balkany 507
