

Gross Schwiesow 360
Jaebetz 177
Gross Teetzleben 815
Trassenheide 964
Schwanheide 760
Rognitz 236
Klein Rogahn 1268
Borzow 778

Lubtheen 3858
Kummer 562
Dummerstorf 2666
Kummerow 734
Dummer 1419

Bad Kleinen 3787

Plate 3686

Jarmen 3238
Lohmen 825
Nustrow 167
Gross Molzahn 343
Gross Mohrdorf 825

Zingst 3198
Lieblingshof 710
Rankwitz 647

Kritzmow 3132
Mestlin 999
Lutzow 1626
Schaprode 526
Prohn 1970
Poseritz 1156
Dreschvitz 796
Sagard 2859
Wardow 1116
Wasdow 410
Neu Kosenow 678
Sarnow 483
Sarow 927
Ziethen 471
Putzar 219
Putgarten 305
Bennin 266

Locknitz 2919
Bresegard 390
Bredenfelde 187
Gormin 1012
Kamin 273
Grammow 185
Dadow 160
Gross Siemz 333
Samtens 2085
Kramerhof 1747
Gielow 1506
Remplin 855
Altkalen 934
Kemnitz 1253
Veelboken 791
Jennewitz 548
Prisannewitz 647
Holldorf 863
Papenhusen 363
Spantekow 854
Colpin 806
Stolpe 400
Duvier 564
Heinrichswalde 564
Jesendorf 535
Minzow 277
Gorlosen 445
Neppermin 410
Hintersee 353
Grunow 347
Stuer 300
