

Le Havre 185972
Grand-Camp 710
Sainte-Croix-Grand-Tonne 308
Auxais 140
Englesqueville-la-Percee 102
Fesques 131
Giverny 564
Corny 277
Vienne-en-Bessin 207
Bazenville 150
Trois-Monts 321
Saint-Vigor-des-Monts 289
Saint-Clair-sur-les-Monts 570
Grainville-la-Teinturiere 1068
Motteville 719
Bourville 323
Bouville 1018
Totes 1158
Crestot 307
Critot 466
Criquetot-sur-Longueville 163
Criquetot-le-Mauconduit 134
Yvecrique 653
Le Pin-au-Haras 388
Saint-Quentin-au-Bosc 90
Amecourt 150
Le Tilleul-Othon 298
Bailleul 621
Chavigny-Bailleul 482
Savigny-le-Vieux 503
Livet-sur-Authou 133

Hautot-sur-Mer 2193

Criel-sur-Mer 2805
Esclavelles 315
Bellavilliers 176
Gemages 90
Fresnay-le-Long 243
Corneville-la-Fouquetiere 86
Touquettes 92
La Motte-Fouquet 151

Touques 3681
Bouquelon 311
Pleine-Seve 111
Thiouville 251
Montreuil-sur-Lozon 262
Montreuil-au-Houlme 111
Coulmer 88
Heronchelles 101

Conches-en-Ouche 4506
Roncherolles-en-Bray 433
Flamets-Fretils 161
Goulet 315
Ingouville 272
Imbleville 279
Colleville 699
Saint-Antoine-la-Foret 967

Criquetot-l'Esneval 2303
Mesnil-sur-l'Estree 974

Evreux 57795
Lingevres 479
Basly 688
Le Vieil-Evreux 807
Ecausseville 89
Saint-Martin-le-Bouillant 312
Saint-Martin-de-Boscherville 1539

Saint-Jacques-sur-Darnetal 2546
Carnet 445
Saint-Planchers 1158
Francheville 1240
Sainte-Pience 248
Saint-Pierre-en-Port 822
Saint-Pierre-Lavis 130
Le Chatellier 351
Berneval-le-Grand 1089
Capelle-les-Grands 373
Airel 494
Airan 728
Ranes 982
Ernes 298
La Pernelle 267

Saint-Sauveur-le-Vicomte 2259
Pirou 1353
Rouperroux 183
Saint-Benoit-des-Ombres 110
Saint-Ouen-des-Besaces 265
Saint-Ouen-sous-Bailly 190
Saint-Ouen-le-Pin 312
Saint-Ouen-de-Pontcheuil 105

Saint-Ouen-de-Thouberville 1802
Saint-Didier-des-Bois 781
Saint-Ellier-les-Bois 247
Vaudeloges 160
Lecaude 154

Pont-Audemer 9666
Pont-Saint-Pierre 1092
La Rue-Saint-Pierre 388
Sainte-Genevieve-en-Caux 255

Bacqueville-en-Caux 1799
Fongueusemare 192
Gueures 542
La Neuve-Lyre 596
Saint-Martin-la-Campagne 92
Berville-la-Campagne 118
Le Dezert 514
Le Mesnil-Lieubray 66

Le Mesnil-Esnard 6380
Blainville-Crevon 1143

Malaunay 5943
Cottevrard 347

Bois-Guillaume 13711
Beaumesnil 670

Orbec 2703
Beaumontel 749
La Croisille 338
Royville 238

Cormelles-le-Royal 4808
Rosel 585
Rosay 270
Saussay 322

Lessay 1800
Angoville-au-Plain 53
Montaigu-la-Brisette 439
Sortosville-en-Beaumont 324
Emondeville 292
Breuville 362
Brillevast 305
Villegats 324
Gatteville-le-Phare 583
Saint-Ouen-de-la-Cour 68
Saint-Ouen-de-Secherouvre 185
Rouvres 207
Saint-Ouen-sur-Iton 851
Penly 326
Appenai-sous-Belleme 225
Saint-Pierre-de-Cernieres 204
Saint-Pierre-de-Manneville 795
Vittefleur 606
Barfleur 655
Bernesq 163
Bernieres 566
Bernieres-le-Patry 525
Bernieres-sur-Seine 260
Etouvy 295
Neuvy-au-Houlme 221
La Trinite-de-Thouberville 401
Gouberville 138
Heberville 116

Pont-Hebert 1769
Hebecourt 573
Bosrobert 395
Saint-Aubin-sur-Gaillon 1492
Saint-Aubin-Celloville 970
Saint-Nicolas-de-la-Haie 390
Saint-Nicolas-de-Pierrepont 259
Glanville 171
Emanville 559
Normanville 1331

Ranville 1982

Carpiquet 2040
Fontenay-le-Marmion 1530
Gefosse-Fontenay 116
Saint-Philbert-sur-Orne 128
Saint-Georges-de-Livoye 182
Sainte-Helene-Bondeville 697
Montgaudry 119
Puchay 424
Saint-Aignan-de-Cramesnil 376
Saint-Agnan-de-Cernieres 127
Saint-Agnan-le-Malherbe 99
Saint-Pierre-de-Salerne 213
Saint-Cyr-de-Salerne 224
Saint-Cyr-la-Rosiere 253
Saint-Cyr-du-Bailleul 455
Saint-Pierre-de-Bailleul 989
Yville-sur-Seine 447
Ernemont-sur-Buchy 185
Beaufour-Druval 378
Glos 916
Saint-Martin-de-Blagny 127
Jobourg 419
Fourneaux-le-Val 185
Bourneville 774
Sainte-Marguerite-sur-Duclair 1554
Auberville-la-Campagne 578
Heugleville-sur-Scie 513
Melleville 300

Goderville 2335
Ourville-en-Caux 1060

Bolbec 13133
Houlbec-Cocherel 1378
Aviron 1279
Virey 953
Lieurey 1255
Nassandres 1468
Le Sap-Andre 124
Saint-Andre-sur-Cailly 836
Saint-Ouen-du-Breuil 694

Notre-Dame-de-Bondeville 7817
Notre-Dame-de-Livaye 143
Notre-Dame-du-Bec 424
Notre-Dame-de-Cenilly 708
Boissy-Maugis 425
Saint-Maur-des-Bois 131
Saint-Gatien-des-Bois 1230
Toutainville 1064
Brainville 121
Epegard 439
Cardonville 81
Catteville 108
Glos-la-Ferriere 566
Perrieres 256
Neuville-Ferrieres 589
Ferrieres-Saint-Hilaire 380
Ferrieres-la-Verrerie 197
Ommoy 115
Sommery 656

Maromme 12412
Montmain 1444
Rebets 112
Sebeville 25
La Meauffe 1069
Saint-Come-du-Mont 465
Saint-Pierre-du-Mesnil 92
Saint-Pierre-du-Regard 1289
Saint-Clair-de-Halouze 860
Saint-Germain-de-Clairefeuille 171
Husson 239
Ussy 848
Chicheboville 509
Doville 289
Surtainville 1093

Mortain 2470
Montbray 415
Bracquemont 851
La Crique 292
Criquetot-sur-Ouville 623
Saint-Jean-du-Thenney 196
Guilmecourt 245
Saint-Germain-la-Campagne 788
Saint-Aubin-des-Preaux 390

Saint-Aubin-sur-Mer 1881
Saint-Aubin-Routot 1150
Saint-Aubin-des-Grois 59
Vicques 53
Bricqueville-sur-Mer 928

Percy 2236
Saint-Gilles 812
Saint-Germain-des-Angles 253
Aubry-le-Panthou 94
Lilly 78
Norolles 291
Fourneaux 81
Houetteville 207
Tribehou 507
Hectomare 207
Courtomer 686
Sancourt 114
Exmes 355

Messei 1910
Cresserons 1255
Cossesseville 91
Tessel 238
Le Pin-la-Garenne 652
Manneville-la-Goupil 989
Alvimare 474
Melamare 759

Le Val-Saint-Pere 1656
Gavray 1524
Avrilly 344
Dardez 177
Ecardenville-sur-Eure 564
La Lande-sur-Eure 159
Tracy-Bocage 310
Jumelles 272
Aumeville-Lestre 143
Hermeville 364
Herqueville 161
Guerquesalles 134
Jurques 608
Saint-Paul-de-Fourques 184
Bordeaux-Saint-Clair 582
Pommereval 342
Saint-Charles-de-Percy 177
Melicourt 87
Heudicourt 563
Bois-Jerome-Saint-Ouen 721
Saint-Jean-des-Bois 182
Saint-Jean-des-Essartiers 160
La Folletiere 67
La Fontelaye 33
Le Detroit 93
Les Ventes-de-Bourse 131
La Vendelee 391
Le Mesnil-Adelee 198
Lastelle 283
Lassy 342
Missy 535
Miserey 503
Cierrey 736
Saint-Jouin 207
Saint-Just 1391

Gravigny 3954
Canville-les-Deux-Eglises 303

Saint-Pierre-Eglise 1829
Sacey 529

Donville-les-Bains 3466
Fontaine-les-Bassets 106
Fontaine-la-Soret 378
Fontaine-sous-Preaux 474
Alizay 1327
Aizier 137

Bretteville-sur-Laize 1572
La Chapelle-Uree 124
La Chapelle-Reanville 1067
Bus-Saint-Remy 291
La Chapelle-en-Juger 634
La Chapelle-Souef 243
Rouelle 215
Veauville-les-Quelles 104
Freauville 146
Hauville 1172

Saint-Aubin-les-Elbeuf 8486
Saint-Aubin-des-Bois 234
Lithaire 532
Litteau 225
Les Autels-Saint-Bazile 44
Le Mesnil-Gilbert 159
Le Mesnil-Guillaume 527
Le Mesnil-Garnier 239
Le Mesnil-Eury 154
