

Le Bourgneuf-la-Foret 1650
Loiron 1342
Ruille-le-Gravelais 798
Ahuille 1451
Nuille-sur-Vicoin 1103
Astille 575
Courtillers 660
Montourtier 317
Montsurs 2119
Bree 484
Combree 2685
Challain-la-Potherie 833
Saint-Lambert-la-Potherie 2405
La Meignanne 2147

Avrille 13723

Angers 168279
Mesanger 3435
Lusanger 1023
Mesquer 1585
Conquereuil 1029
Marsac-sur-Don 1305
Nozay 3419
Abbaretz 1627
Saffre 2884
La Chevallerais 704

La Chevroliere 5220
Le Chevain 721
Conge-sur-Orne 303
Contigne 644
Montigne-les-Rairies 371
Les Rairies 915
Durtal 3423
Bazouges-sur-le-Loir 1197
Cre-sur-Loir 694

La Fleche 18536
Echemire 492
Le Vieil-Bauge 1333
Bauge-en-Anjou 3403
Lue-en-Baugeois 300
Maisoncelles 217
Jupilles 598
Beille 410
Saint-Loup-du-Gast 334
Saint-Loup-du-Dorat 336
Sainte-Flaive-des-Loups 1881
Notre-Dame-des-Landes 1773

Heric 4286
Cherisay 224
Cherance 398
Piace 356
Melleray 515
Peray 54
Mezeray 1554
Bousse 406
Villaines-sous-Malicorne 793
Artheze 325
Ferce-sur-Sarthe 512
Cuon 499
Marcille-la-Ville 841
Nuille-le-Jalais 329
Trans 249
Panon 29
La Bosse 115
Cosse-le-Vivien 2862
Nesmy 2131
Saint-Jean-des-Echelles 244
Place 297
Preaux 167
Montpollin 160
Cosmes 284
Senonnes 345
Villaines-la-Gonais 457
Villaines-la-Juhel 3320
Saint-Aignan-de-Couptrain 375
Couptrain 165
Drain 1757
Brains 2325

Bouaye 5673
Saint-Leger-les-Vignes 1245
Saint-Leger-sous-Cholet 2797

Cholet 53160
Nuaille 1447
La Cornuaille 837
Le Louroux-Beconnais 2225
Saint-Augustin-des-Bois 878
Saint-Germain-des-Pres 1206
Saint-Vincent-des-Pres 428
Pince 202
Saint-Vincent-des-Landes 1424
Isse 1937
Crisse 519
Froidfond 1001
Ruille-Froid-Fonds 462
Villiers-Charlemagne 981
Quelaines-Saint-Gault 1813
Simple 265
Laigne 746
Aigne 1411
Chaufour-Notre-Dame 911
Cormes 911
Saint-Pierre-des-Ormes 239

Juigne 7007
Saint-Aubin-de-Luigne 908
Rochefort-sur-Loire 2090
Moze-sur-Louet 2110
Denee 1467

Bouchemaine 6534
Chemaze 1072
La Jaille-Yvon 263
Meon 263
Andigne 275
Contest 807
Thoire-sous-Contensor 80
Montabon 752
Vritz 855
Saint-Calez-en-Saosnois 173
Saint-Erblon 173
Niafles 305
Noellet 365
Prevelles 154
Petosse 519
Saint-Aubin-la-Plaine 321
Fye 986
Beaumont-sur-Deme 358
Saint-Sulpice-en-Pareds 408
Le Thoureil 381
Dureil 78
Saint-Denis-des-Coudrais 93
Saint-Aubin-des-Coudrais 948
Tuffe 1572
Couffe 1936
Bouffere 1892
La Planche 2239
La Plaine 867
Somloire 837
Loire 805
Berfay 364
Voutre 859
Montguillon 175
Le Ribay 497
La Fontaine-Saint-Martin 485
Louresse-Rochemenier 651
Le Langon 1090

Le Lude 4465
Savigne-sous-le-Lude 498
Chigne 300
Thoree-les-Pins 701
Clermont-Creans 1107
Saint-Paul-Mont-Penit 518
Saint-Cyr-des-Gats 518
Saint-Cyr-en-Talmondais 319
Juille 482
Vaulandry 268
Montrevault 1267
Saint-Pierre-Montlimart 3238
Le Fief-Sauvin 1407
Le Fuilet 1925
Le Puiset-Dore 981
La Chaussaire 695
La Chapelle-Heulin 1997

La Chapelle-Basse-Mer 4595

Basse-Goulaine 8160

Haute-Goulaine 5290

Vertou 22921
Averton 652
Meral 954
Daumeray 1387
Saint-Lumine-de-Clisson 1451
Coron 1384
Monhoudou 201
Sainte-Suzanne 1059

Sainte-Pazanne 3734
Saint-Hilaire-de-Chaleons 1760

Saint-Hilaire-de-Talmont 5737
Grosbreuil 1344
Breuil-Barret 668

Montreuil-Bellay 4631
Antoigne 437
Epieds 574
Beaumont-Pied-de-Boeuf 499

Chateau-du-Loir 5567
Saint-Philbert-en-Mauges 346
Vaas 1725
Aubigne-Racan 2211
Aubigny 2508
Louvigny 183
Louvigne 702
Bais 1568
Ruffigne 649
Soudan 2199
Erbray 2609
Moisdon-la-Riviere 1789
Maisdon-sur-Sevre 2218
Vallon-sur-Gee 732
Malicorne-sur-Sarthe 1920
Barace 337
Saint-Pierre-du-Lorouer 359
